package_id,shipment_id,actual_weight_kg,length_cm,width_cm,height_cm
P-0001-1,S-0001,2,30,30,20
P-0001-2,S-0001,5,30,30,20
P-0002-1,S-0002,9,40,30,30
P-0002-2,S-0002,12,40,30,30
P-0003-1,S-0003,16,50,30,
P-0003-2,S-0003,19,50,30,40
P-0004-1,S-0004,4,60,30,20
P-0005-1,S-0005,11,30,30,30
P-0005-2,S-0005,14,30,30,30
P-0006-1,S-0006,18,40,30,40
P-0006-2,S-0006,2,40,30,40
P-0007-1,S-0007,6,50,30,20
P-0007-2,S-0007,9,50,30,20
P-0008-1,S-0008,13,60,30,30
P-0009-1,S-0009,20,30,30,40
P-0009-2,S-0009,4,30,30,40
P-0010-1,S-0010,8,40,30,20
P-0010-2,S-0010,11,40,30,20
P-0011-1,S-0011,15,50,30,30
P-0011-2,S-0011,18,50,30,30
P-0012-1,S-0012,3,60,30,40
P-0013-1,S-0013,10,30,30,20
P-0013-2,S-0013,13,30,30,20
P-0014-1,S-0014,17,40,30,30
P-0014-2,S-0014,20,40,30,30
P-0015-1,S-0015,5,50,30,40
P-0015-2,S-0015,8,50,30,40
P-0016-1,S-0016,12,60,30,20
P-0017-1,S-0017,19,30,30,30
P-0017-2,S-0017,3,30,30,30
P-0018-1,S-0018,7,40,30,40
P-0018-2,S-0018,10,40,30,40
P-0019-1,S-0019,14,50,30,20
P-0019-2,S-0019,17,50,30,20
P-0020-1,S-0020,2,60,30,30
P-0021-1,S-0021,9,30,30,40
P-0021-2,S-0021,12,30,30,40
P-0022-1,S-0022,16,40,30,20
P-0022-2,S-0022,19,40,30,20
P-0023-1,S-0023,4,50,30,30
P-0023-2,S-0023,7,50,30,30
P-0024-1,S-0024,11,60,30,40
P-0025-1,S-0025,18,30,30,20
P-0025-2,S-0025,2,30,30,20
P-0026-1,S-0026,6,40,30,30
P-0026-2,S-0026,9,40,30,30
P-0027-1,S-0027,13,50,30,40
P-0027-2,S-0027,16,50,30,40
P-0028-1,S-0028,20,60,30,20
P-0029-1,S-0029,8,30,30,30
P-0029-2,S-0029,11,30,30,30
P-0030-1,S-0030,15,40,30,40
P-0030-2,S-0030,18,40,30,40
P-0031-1,S-0031,3,50,30,20
P-0031-2,S-0031,6,50,30,20
P-0032-1,S-0032,10,60,30,30
P-0033-1,S-0033,17,30,30,40
P-0033-2,S-0033,20,30,30,40
P-0034-1,S-0034,5,40,30,20
P-0034-2,S-0034,8,40,30,20
P-0035-1,S-0035,12,50,30,30
P-0035-2,S-0035,15,50,30,30
P-0036-1,S-0036,19,60,30,40
P-0037-1,S-0037,7,30,30,20
P-0037-2,S-0037,10,30,30,20
P-0038-1,S-0038,14,40,30,30
P-0038-2,S-0038,17,40,30,30
P-0039-1,S-0039,2,50,30,40
P-0039-2,S-0039,5,50,30,40
P-0040-1,S-0040,9,60,30,20
P-0041-1,S-0041,16,30,30,30
P-0041-2,S-0041,19,30,30,30
P-0042-1,S-0042,4,40,30,40
P-0042-2,S-0042,7,40,30,40
P-0043-1,S-0043,11,50,30,20
P-0043-2,S-0043,14,50,30,20
P-0044-1,S-0044,18,60,30,30
P-0045-1,S-0045,6,30,30,40
P-0045-2,S-0045,9,30,30,40
P-0046-1,S-0046,13,40,30,20
P-0046-2,S-0046,16,40,30,20
