shipment_id,order_id,customer_id,destination_id,zone,ready_at,dispatch_at,promised_delivery_date,current_service_id,handling_class,consolidation_allowed
S-0001,O-0001,C-001,D-001,NORD,2026-09-01T08:00:00+02:00,2026-09-01T09:00:00+02:00,2026-09-02,RAPIDO,bulky,false
S-0002,O-0001,C-001,D-001,NORD,2026-09-01T08:00:00+02:00,2026-09-01T09:00:00+02:00,2026-09-02,NON_COPERTO,standard,true
S-0003,O-0002,C-001,D-001,NORD,2026-09-01T08:00:00+02:00,2026-09-01T09:00:00+02:00,2026-09-02,ECONOMIA,standard,true
S-0004,O-0002,C-001,D-001,NORD,2026-09-01T08:00:00+02:00,2026-09-01T09:00:00+02:00,2026-09-02,RAPIDO,standard,true
S-0005,O-0003,C-001,D-001,NORD,2026-09-01T08:00:00+02:00,2026-09-01T09:00:00+02:00,2026-09-02,LINEA,standard,true
S-0006,O-0003,C-001,D-002,CENTRO,2026-09-02T08:00:00+02:00,2026-09-02T09:00:00+02:00,2026-09-07,ECONOMIA,standard,true
S-0007,O-0004,C-001,D-002,CENTRO,2026-09-02T08:00:00+02:00,2026-09-02T09:00:00+02:00,2026-09-07,RAPIDO,standard,true
S-0008,O-0004,C-001,D-002,CENTRO,2026-09-02T08:00:00+02:00,2026-09-02T09:00:00+02:00,2026-09-07,LINEA,standard,true
S-0009,O-0005,C-001,D-002,CENTRO,2026-09-02T08:00:00+02:00,2026-09-02T09:00:00+02:00,2026-09-07,ECONOMIA,standard,true
S-0010,O-0005,C-001,D-002,CENTRO,2026-09-02T08:00:00+02:00,2026-09-02T09:00:00+02:00,2026-09-07,RAPIDO,standard,true
S-0011,O-0006,C-002,D-003,NORD,2026-09-03T08:00:00+02:00,2026-09-03T09:00:00+02:00,2026-09-08,LINEA,standard,true
S-0012,O-0006,C-002,D-003,NORD,2026-09-03T08:00:00+02:00,2026-09-03T09:00:00+02:00,2026-09-08,ECONOMIA,standard,false
S-0013,O-0007,C-002,D-003,NORD,2026-09-03T08:00:00+02:00,2026-09-03T09:00:00+02:00,2026-09-08,RAPIDO,standard,true
S-0014,O-0007,C-002,D-003,NORD,2026-09-03T08:00:00+02:00,2026-09-03T09:00:00+02:00,2026-09-08,LINEA,standard,true
S-0015,O-0008,C-002,D-003,NORD,2026-09-03T08:00:00+02:00,2026-09-03T09:00:00+02:00,2026-09-08,ECONOMIA,standard,true
S-0016,O-0008,C-002,D-004,CENTRO,2026-09-08T08:00:00+02:00,2026-09-08T09:00:00+02:00,2026-09-09,RAPIDO,standard,true
S-0017,O-0009,C-002,D-004,CENTRO,2026-09-08T08:00:00+02:00,2026-09-08T09:00:00+02:00,2026-09-09,LINEA,standard,true
S-0018,O-0009,C-002,D-004,CENTRO,2026-09-08T08:00:00+02:00,2026-09-08T09:00:00+02:00,2026-09-09,ECONOMIA,standard,true
S-0019,O-0010,C-002,D-004,CENTRO,2026-09-08T08:00:00+02:00,2026-09-08T09:00:00+02:00,2026-09-09,RAPIDO,standard,true
S-0020,O-0010,C-002,D-004,CENTRO,2026-09-08T08:00:00+02:00,2026-09-08T09:00:00+02:00,2026-09-09,LINEA,standard,true
S-0021,O-0011,C-003,D-005,NORD,2026-09-01T08:00:00+02:00,2026-09-01T09:00:00+02:00,2026-09-04,ECONOMIA,standard,true
S-0022,O-0011,C-003,D-005,NORD,2026-09-01T08:00:00+02:00,2026-09-01T09:00:00+02:00,2026-09-04,RAPIDO,standard,true
S-0023,O-0012,C-003,D-005,NORD,2026-09-01T08:00:00+02:00,2026-09-01T09:00:00+02:00,2026-09-04,LINEA,standard,false
S-0024,O-0012,C-003,D-005,NORD,2026-09-01T08:00:00+02:00,2026-09-01T09:00:00+02:00,2026-09-04,ECONOMIA,standard,true
S-0025,O-0013,C-003,D-005,NORD,2026-09-01T08:00:00+02:00,2026-09-01T09:00:00+02:00,2026-09-04,RAPIDO,standard,true
S-0026,O-0013,C-003,D-006,CENTRO,2026-09-02T08:00:00+02:00,2026-09-02T09:00:00+02:00,2026-09-07,LINEA,standard,true
S-0027,O-0014,C-003,D-006,CENTRO,2026-09-02T08:00:00+02:00,2026-09-02T09:00:00+02:00,2026-09-07,ECONOMIA,standard,true
S-0028,O-0014,C-003,D-006,CENTRO,2026-09-02T08:00:00+02:00,2026-09-02T09:00:00+02:00,2026-09-07,RAPIDO,standard,true
S-0029,O-0015,C-003,D-006,CENTRO,2026-09-02T08:00:00+02:00,2026-09-02T09:00:00+02:00,2026-09-07,LINEA,standard,true
S-0030,O-0015,C-003,D-006,CENTRO,2026-09-02T08:00:00+02:00,2026-09-02T09:00:00+02:00,2026-09-07,ECONOMIA,standard,true
S-0031,O-0016,C-004,D-007,NORD,2026-09-03T08:00:00+02:00,2026-09-03T09:00:00+02:00,2026-09-04,RAPIDO,standard,true
S-0032,O-0016,C-004,D-007,NORD,2026-09-03T08:00:00+02:00,2026-09-03T09:00:00+02:00,2026-09-04,LINEA,standard,true
S-0033,O-0017,C-004,D-007,NORD,2026-09-03T08:00:00+02:00,2026-09-03T09:00:00+02:00,2026-09-04,ECONOMIA,standard,true
S-0034,O-0017,C-004,D-007,NORD,2026-09-03T08:00:00+02:00,2026-09-03T09:00:00+02:00,2026-09-04,RAPIDO,standard,false
S-0035,O-0018,C-004,D-007,NORD,2026-09-03T08:00:00+02:00,2026-09-03T09:00:00+02:00,2026-09-04,LINEA,standard,true
S-0036,O-0018,C-004,D-008,CENTRO,2026-09-08T08:00:00+02:00,2026-09-08T09:00:00+02:00,2026-09-11,ECONOMIA,standard,true
S-0037,O-0019,C-004,D-008,CENTRO,2026-09-08T08:00:00+02:00,2026-09-08T09:00:00+02:00,2026-09-11,RAPIDO,standard,true
S-0038,O-0019,C-004,D-008,CENTRO,2026-09-08T08:00:00+02:00,2026-09-08T09:00:00+02:00,2026-09-11,LINEA,bulky,true
S-0039,O-0020,C-004,D-008,CENTRO,2026-09-08T08:00:00+02:00,2026-09-08T09:00:00+02:00,2026-09-11,ECONOMIA,standard,true
